epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,419.072,0.82951,0.82088,1.05149,0.85528,0.99209,0.95133,0.7246,0.91425,0.7233,0.9801,0.000608468,0.000608468,0.000608468
60,426.105,0.86111,0.8051,1.04911,0.83867,0.98246,0.9543,0.73103,0.9244,0.69687,0.98553,0.000594321,0.000594321,0.000594321
61,433.142,0.84485,0.77268,1.03597,0.86599,0.96012,0.95516,0.73608,0.88799,0.70774,0.97763,0.000580174,0.000580174,0.000580174
62,440.189,0.85,0.7937,1.07813,0.86958,0.97003,0.95979,0.74439,0.85956,0.69997,0.96172,0.000566027,0.000566027,0.000566027
63,447.277,0.77921,0.75371,1.04619,0.90404,0.96828,0.97176,0.74381,0.86593,0.69939,0.96546,0.00055188,0.00055188,0.00055188
64,454.379,0.81744,0.77023,1.05237,0.89789,0.90292,0.96829,0.74684,0.89216,0.69375,0.9788,0.000537733,0.000537733,0.000537733
65,461.587,0.79138,0.76996,1.04172,0.88511,0.95537,0.97054,0.75427,0.83674,0.681,0.97018,0.000523586,0.000523586,0.000523586
66,468.847,0.81977,0.80175,1.06527,0.87511,0.94987,0.96224,0.7422,0.82037,0.6819,0.96594,0.000509438,0.000509438,0.000509438
67,475.982,0.8158,0.75076,1.04683,0.8185,0.94737,0.95342,0.71753,0.86823,0.71722,0.97106,0.000495291,0.000495291,0.000495291
68,483.073,0.81253,0.76639,1.04161,0.81914,0.94737,0.94123,0.71509,0.85749,0.69671,0.96141,0.000481144,0.000481144,0.000481144
69,490.144,0.7753,0.75133,1.03325,0.85078,0.92345,0.93416,0.72884,0.82016,0.68105,0.9549,0.000466997,0.000466997,0.000466997
70,497.214,0.72127,0.69957,1.01151,0.83313,0.93593,0.93311,0.73676,0.82659,0.72424,0.95346,0.00045285,0.00045285,0.00045285
71,504.299,0.81332,0.86291,1.05214,0.84757,0.95637,0.94184,0.72062,0.87712,0.71351,0.976,0.000438703,0.000438703,0.000438703
72,511.371,0.80391,0.75603,1.0503,0.8291,1,0.91912,0.68453,0.88649,0.71962,0.97989,0.000424556,0.000424556,0.000424556
73,518.441,0.77769,0.72294,1.04163,0.84877,0.99537,0.9234,0.68507,0.87151,0.72053,0.97059,0.000410409,0.000410409,0.000410409
74,525.522,0.73175,0.69486,1.03834,0.87257,0.95809,0.95512,0.72333,0.83661,0.70594,0.95978,0.000396262,0.000396262,0.000396262
75,532.629,0.76666,0.71208,1.0401,0.88903,0.95177,0.9678,0.73309,0.85873,0.69711,0.96868,0.000382115,0.000382115,0.000382115
76,539.709,0.68582,0.64897,0.9755,0.8761,0.95321,0.97081,0.73463,0.85144,0.6861,0.97217,0.000367967,0.000367967,0.000367967
77,546.794,0.69852,0.69532,1.01125,0.87644,0.9535,0.97298,0.74864,0.86471,0.66787,0.98089,0.00035382,0.00035382,0.00035382
78,553.897,0.75368,0.70012,0.99487,0.91204,0.94812,0.97431,0.73446,0.91332,0.65749,0.98996,0.000339673,0.000339673,0.000339673
79,561.021,0.74456,0.71689,1.00395,0.89542,0.93027,0.96056,0.73323,0.89154,0.64894,0.97529,0.000325526,0.000325526,0.000325526
80,568.128,0.73084,0.69011,1.00565,0.90394,0.95856,0.97482,0.73454,0.88729,0.66044,0.97857,0.000311379,0.000311379,0.000311379
81,575.242,0.72557,0.6816,1.02482,0.90627,0.96491,0.97624,0.73564,0.88449,0.66417,0.97591,0.000297232,0.000297232,0.000297232
82,582.344,0.75801,0.71057,1.04581,0.90248,0.94668,0.97564,0.73976,0.86057,0.67657,0.96073,0.000283085,0.000283085,0.000283085
83,589.437,0.73047,0.67877,1.02288,0.85639,0.97267,0.96899,0.73987,0.83675,0.66589,0.9595,0.000268938,0.000268938,0.000268938
84,596.506,0.74089,0.66222,1.02741,0.89316,0.97414,0.9674,0.73699,0.85297,0.65638,0.96673,0.000254791,0.000254791,0.000254791
85,603.593,0.73385,0.68781,1.01562,0.89028,0.95216,0.96656,0.73795,0.86865,0.6653,0.9763,0.000240644,0.000240644,0.000240644
86,610.706,0.73603,0.71138,1.01131,0.82928,0.9525,0.94574,0.72949,0.87398,0.67963,0.98609,0.000226497,0.000226497,0.000226497
87,617.805,0.68689,0.66159,1.00186,0.86419,0.94737,0.9487,0.73764,0.85289,0.66767,0.97484,0.000212349,0.000212349,0.000212349
88,624.868,0.74239,0.70368,1.02611,0.86943,0.96048,0.96269,0.73975,0.83676,0.67014,0.96045,0.000198202,0.000198202,0.000198202
89,631.951,0.69039,0.66043,0.98831,0.84731,0.95922,0.95913,0.74508,0.84321,0.67424,0.95566,0.000184055,0.000184055,0.000184055
90,639.085,0.64875,0.64153,0.98612,0.86189,0.96491,0.9548,0.74184,0.83673,0.66183,0.95635,0.000169908,0.000169908,0.000169908
91,646.748,0.77936,0.79481,1.03609,0.849,0.96491,0.95457,0.74175,0.83687,0.65354,0.96052,0.000155761,0.000155761,0.000155761
92,653.877,0.77262,0.76683,1.05718,0.87231,0.94413,0.95971,0.73459,0.84337,0.65311,0.96694,0.000141614,0.000141614,0.000141614
93,660.934,0.74122,0.74125,1.03611,0.87381,0.9427,0.96348,0.73411,0.84337,0.65422,0.96694,0.000127467,0.000127467,0.000127467
94,667.978,0.71663,0.70756,0.99517,0.85996,0.93077,0.94575,0.73071,0.82711,0.64338,0.9587,0.00011332,0.00011332,0.00011332
95,675.035,0.72366,0.69724,1.00657,0.84179,0.95518,0.94655,0.72805,0.82123,0.63132,0.95984,9.91726e-05,9.91726e-05,9.91726e-05
96,682.078,0.70216,0.67214,1.01834,0.84173,0.9563,0.94804,0.72873,0.81995,0.62623,0.96338,8.50255e-05,8.50255e-05,8.50255e-05
97,689.121,0.76223,0.70313,1.02109,0.82639,0.94737,0.94799,0.73556,0.82001,0.62834,0.96502,7.08784e-05,7.08784e-05,7.08784e-05
98,696.192,0.72119,0.6949,1.00996,0.82171,0.96292,0.94799,0.75237,0.81152,0.62857,0.96038,5.67313e-05,5.67313e-05,5.67313e-05
99,703.348,0.81112,0.76709,1.09959,0.82084,0.97333,0.96363,0.7528,0.80333,0.62757,0.95583,4.25842e-05,4.25842e-05,4.25842e-05
100,710.397,0.71452,0.6899,1.01421,0.88111,0.91249,0.96363,0.74862,0.80323,0.62875,0.95509,2.84371e-05,2.84371e-05,2.84371e-05
